id,Churn,genero,tiene_mas_60,posee_pareja,posee_dependientes,tiempo_contrato,servicio_telefono,multiples_lineas,tipo_internet,seguridad_online,backup_online,proteccion_dispositivo,soporte_tecnico,streaming_tv,streaming_peliculas,tipo_contrato,factura_digital,metodo_pago,valor_mensual,total_cobrado,cuentas_diarias
0078-XZMHT,No,Masculino,No,Si,No,72,Si,Si,DSL,No,Si,Si,Si,Si,Si,Bienal,Si,Transferencia bancaria (automática),85.15,6316.2,2.8383333333333334
0080-EMYVY,No,Femenino,No,No,No,14,Si,No,DSL,No,Si,No,No,No,No,Anual,No,Tarjeta de crédito (automático),51.45,727.85,1.715
0080-OROZO,No,Femenino,No,No,No,35,Si,No,Fibra óptica,No,No,Si,Si,Si,Si,Anual,Si,Cheque electrónico,99.25,3532.0,3.308333333333333
0082-LDZUE,No,Masculino,No,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque enviado por correo,44.3,44.3,1.4766666666666666
0082-OQIQY,No,Masculino,No,No,No,29,Si,No,Fibra óptica,No,No,No,Si,Si,Si,Mensual,Si,Cheque electrónico,94.2,2607.6,3.14
0083-PIVIK,No,Masculino,No,No,No,64,Si,Si,DSL,Si,Si,Si,Si,Si,No,Anual,No,Cheque electrónico,81.25,5567.55,2.7083333333333335
0089-IIQKO,No,Femenino,No,Si,Si,39,Si,Si,Fibra óptica,No,No,No,Si,Si,Si,Mensual,Si,Tarjeta de crédito (automático),99.95,3767.4,3.3316666666666666
0093-EXYQL,No,Femenino,Si,No,No,40,Si,No,Fibra óptica,No,No,No,No,Si,Si,Mensual,Si,Cheque electrónico,91.55,3673.6,3.0516666666666667
0093-XWZFY,Si,Masculino,No,No,No,40,Si,Si,Fibra óptica,No,Si,Si,No,Si,Si,Mensual,Si,Tarjeta de crédito (automático),104.5,4036.85,3.4833333333333334
0094-OIFMO,Si,Femenino,Si,No,No,11,Si,No,Fibra óptica,No,Si,No,No,Si,Si,Mensual,Si,Cheque electrónico,95.0,1120.3,3.1666666666666665
0096-BXERS,No,Femenino,No,Si,No,6,Si,Si,DSL,No,No,No,No,No,No,Mensual,No,Cheque electrónico,50.35,314.55,1.6783333333333335
0096-FCPUF,No,Masculino,No,No,No,30,Si,Si,DSL,Si,No,No,No,No,Si,Mensual,Si,Cheque enviado por correo,64.5,1888.45,2.15
0098-BOWSO,No,Masculino,No,No,No,27,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Cheque electrónico,19.4,529.8,0.6466666666666666
0100-DUVFC,No,Masculino,Si,Si,No,70,Si,Si,Fibra óptica,No,Si,Si,No,Si,Si,Anual,Si,Cheque electrónico,104.8,7308.95,3.493333333333333
0103-CSITQ,No,Femenino,No,Si,No,57,Si,Si,Fibra óptica,No,Si,Si,Si,Si,Si,Anual,Si,Transferencia bancaria (automática),109.4,6252.7,3.646666666666667
0104-PPXDV,No,Masculino,No,Si,No,58,Si,No,DSL,No,No,Si,No,No,No,Anual,No,Tarjeta de crédito (automático),50.3,2878.55,1.6766666666666665
0106-GHRQR,No,Masculino,No,No,No,16,Si,Si,DSL,No,Si,Si,No,No,Si,Mensual,Si,Transferencia bancaria (automática),71.4,1212.1,2.3800000000000003
0106-UGRDO,No,Femenino,No,Si,No,69,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Bienal,Si,Cheque electrónico,116.0,8182.85,3.8666666666666667
0107-WESLM,Si,Masculino,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Cheque electrónico,19.85,19.85,0.6616666666666667
0107-YHINA,Si,Masculino,No,No,Si,1,Si,Si,Fibra óptica,No,No,Si,No,Si,Si,Mensual,Si,Cheque electrónico,99.75,99.75,3.325
0111-KLBQG,No,Masculino,Si,Si,Si,32,Si,No,Fibra óptica,No,Si,No,No,Si,Si,Mensual,Si,Cheque enviado por correo,93.95,2861.45,3.131666666666667
0112-QAWRZ,No,Masculino,No,Si,Si,16,Si,Si,Fibra óptica,No,No,Si,No,Si,No,Mensual,Si,Transferencia bancaria (automática),90.8,1442.2,3.0266666666666664
0112-QWPNC,Si,Masculino,No,Si,No,49,Si,Si,DSL,Si,No,Si,Si,Si,Si,Anual,No,Cheque electrónico,84.35,4059.35,2.8116666666666665
0114-IGABW,No,Femenino,No,Si,No,71,No,Sin servicio de teléfono,DSL,No,Si,Si,Si,Si,Si,Bienal,No,Transferencia bancaria (automática),58.25,4145.9,1.9416666666666667
0114-PEGZZ,No,Femenino,No,No,No,33,Si,Si,Fibra óptica,No,Si,Si,No,Si,Si,Mensual,No,Cheque electrónico,107.55,3645.5,3.585
0114-RSRRW,No,Femenino,No,Si,No,10,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Transferencia bancaria (automática),19.95,187.75,0.6649999999999999
0115-TFERT,Si,Masculino,No,Si,No,21,Si,Si,Fibra óptica,No,Si,Si,Si,Si,Si,Mensual,Si,Cheque electrónico,111.2,2317.1,3.7066666666666666
0117-LFRMW,Si,Masculino,No,Si,Si,37,No,Sin servicio de teléfono,DSL,Si,Si,Si,No,No,No,Mensual,No,Transferencia bancaria (automática),40.2,1448.8,1.34
0118-JPNOY,No,Femenino,Si,No,No,26,Si,No,Fibra óptica,Si,No,No,No,Si,No,Mensual,Si,Tarjeta de crédito (automático),85.8,2193.65,2.86
0121-SNYRK,No,Masculino,No,No,No,50,No,Sin servicio de teléfono,DSL,Si,No,No,Si,No,No,Anual,Si,Cheque enviado por correo,35.4,1748.9,1.18
0122-OAHPZ,Si,Femenino,No,No,No,7,Si,Si,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,73.85,511.25,2.4616666666666664
0123-CRBRT,No,Femenino,No,Si,Si,61,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Bienal,No,Cheque enviado por correo,88.1,5526.75,2.9366666666666665
0125-LZQXK,Si,Masculino,No,No,No,15,Si,No,Fibra óptica,No,No,Si,Si,Si,Si,Mensual,Si,Cheque electrónico,101.35,1553.95,3.378333333333333
0128-MKWSG,No,Femenino,No,No,Si,26,No,Sin servicio de teléfono,DSL,Si,No,No,Si,No,Si,Mensual,No,Cheque enviado por correo,45.8,1147.0,1.5266666666666666
0129-KPTWJ,No,Masculino,No,Si,No,72,Si,No,Fibra óptica,No,No,Si,No,Si,Si,Mensual,Si,Cheque electrónico,94.65,6747.35,3.1550000000000002
0129-QMPDR,No,Masculino,No,Si,Si,44,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,Si,Transferencia bancaria (automática),20.5,865.05,0.6833333333333333
0130-SXOUN,No,Masculino,No,No,No,66,Si,Si,Fibra óptica,No,Si,No,No,No,Si,Mensual,No,Tarjeta de crédito (automático),89.4,5976.9,2.98
0133-BMFZO,Si,Femenino,No,No,No,2,Si,No,Fibra óptica,Si,Si,No,Si,No,No,Mensual,Si,Cheque electrónico,86.25,181.65,2.875
0134-XWXCE,No,Femenino,Si,No,No,44,Si,No,DSL,No,No,Si,Si,Si,Si,Anual,No,Transferencia bancaria (automática),74.85,3268.05,2.4949999999999997
0135-NMXAP,Si,Femenino,No,No,No,12,Si,Si,Fibra óptica,No,Si,No,No,Si,No,Mensual,Si,Transferencia bancaria (automática),89.75,1052.4,2.9916666666666667
0136-IFMYD,No,Masculino,Si,Si,No,69,Si,Si,Fibra óptica,No,Si,Si,Si,Si,Si,Bienal,Si,Cheque electrónico,109.95,7634.25,3.665
0137-OCGAB,Si,Femenino,No,No,No,1,Si,Si,Fibra óptica,No,Si,No,No,No,No,Mensual,Si,Cheque enviado por correo,80.2,80.2,2.6733333333333333
0137-UDEUO,Si,Femenino,No,No,No,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque enviado por correo,19.85,63.75,0.6616666666666667
0139-IVFJG,No,Femenino,No,Si,No,2,Si,No,Fibra óptica,Si,Si,No,No,Si,No,Mensual,No,Cheque electrónico,90.35,190.5,3.0116666666666663
0141-YEAYS,No,Femenino,Si,No,No,27,Si,Si,Fibra óptica,No,Si,Si,No,No,No,Mensual,Si,Transferencia bancaria (automática),86.45,2401.05,2.881666666666667
0142-GVYSN,No,Masculino,No,No,No,26,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Cheque electrónico,20.3,511.25,0.6766666666666666
0147-ESWWR,No,Femenino,Si,Si,No,39,Si,Si,Fibra óptica,No,No,No,Si,Si,Si,Mensual,Si,Cheque electrónico,101.25,3949.15,3.375
0148-DCDOS,Si,Masculino,No,No,No,25,Si,Si,Fibra óptica,No,No,No,No,Si,Si,Mensual,Si,Transferencia bancaria (automática),94.7,2362.1,3.1566666666666667
0151-ONTOV,Si,Femenino,No,No,No,1,Si,No,Fibra óptica,No,No,No,No,No,No,Mensual,No,Cheque enviado por correo,70.9,70.9,2.3633333333333337
0156-FVPTA,Si,Masculino,No,Si,No,22,Si,No,DSL,Si,No,No,Si,No,No,Mensual,Si,Cheque electrónico,54.2,1152.7,1.8066666666666669
0164-APGRB,No,Femenino,No,No,No,72,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Bienal,Si,Cheque electrónico,114.9,8496.7,3.83
0164-XAIRP,No,Femenino,No,No,No,24,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,Si,Transferencia bancaria (automática),19.55,470.2,0.6516666666666667
0168-XZKBB,No,Femenino,No,Si,No,19,Si,Si,Fibra óptica,No,No,No,No,Si,No,Mensual,Si,Cheque electrónico,86.85,1564.4,2.895
0174-QRVVY,No,Masculino,No,Si,Si,71,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,No,Tarjeta de crédito (automático),25.35,1847.55,0.8450000000000001
0177-PXBAT,No,Masculino,Si,Si,No,33,Si,Si,Fibra óptica,Si,No,Si,Si,Si,Si,Mensual,Si,Transferencia bancaria (automática),109.9,3694.7,3.6633333333333336
0178-CIIKR,No,Femenino,No,No,No,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque enviado por correo,19.95,58.0,0.6649999999999999
0178-SZBHO,No,Masculino,No,Si,Si,47,Si,Si,Fibra óptica,No,Si,No,No,Si,No,Mensual,No,Cheque electrónico,87.2,4017.45,2.9066666666666667
0181-RITDD,No,Masculino,No,Si,Si,62,Si,No,Fibra óptica,Si,Si,Si,Si,Si,Si,Bienal,No,Cheque enviado por correo,108.15,6825.65,3.605
0186-CAERR,No,Masculino,No,No,No,71,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Anual,Si,Transferencia bancaria (automática),116.3,8309.55,3.8766666666666665
0187-QSXOE,No,Masculino,Si,Si,No,7,Si,No,Fibra óptica,No,No,No,No,Si,Si,Mensual,Si,Cheque electrónico,89.0,605.45,2.966666666666667
0187-WZNAB,No,Femenino,No,Si,Si,27,Si,No,Fibra óptica,Si,No,No,No,No,No,Mensual,No,Cheque enviado por correo,74.4,1972.35,2.48
0188-GWFLE,No,Masculino,No,No,No,2,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque enviado por correo,20.05,33.7,0.6683333333333333
0191-EQUUH,No,Femenino,No,No,Si,25,No,Sin servicio de teléfono,DSL,Si,No,No,Si,No,No,Bienal,No,Transferencia bancaria (automática),35.05,844.45,1.1683333333333332
0191-ZHSKZ,No,Masculino,Si,No,No,30,Si,No,DSL,Si,Si,No,No,Si,Si,Mensual,Si,Cheque electrónico,74.75,2111.3,2.4916666666666667
0193-ESZXP,Si,Femenino,Si,Si,No,58,Si,No,Fibra óptica,Si,Si,No,Si,Si,Si,Anual,Si,Tarjeta de crédito (automático),105.5,6205.5,3.5166666666666666
0195-IESCP,Si,Masculino,No,Si,No,10,Si,Si,Fibra óptica,No,No,No,No,No,Si,Mensual,Si,Cheque electrónico,85.25,855.3,2.841666666666667
0196-JTUQI,No,Femenino,No,No,No,9,Si,Si,Fibra óptica,No,No,No,No,No,No,Mensual,Si,Tarjeta de crédito (automático),75.2,633.85,2.506666666666667
0196-VULGZ,Si,Femenino,Si,Si,No,6,Si,Si,Fibra óptica,No,No,No,No,No,Si,Mensual,Si,Cheque electrónico,84.35,474.9,2.8116666666666665
0197-PNKNK,No,Femenino,No,Si,Si,69,Si,Si,Fibra óptica,Si,No,Si,No,No,No,Anual,No,Transferencia bancaria (automática),84.45,5848.6,2.815
0201-MIBOL,No,Femenino,Si,No,No,66,Si,Si,Fibra óptica,Si,No,No,No,Si,Si,Bienal,Si,Transferencia bancaria (automática),102.4,6471.85,3.4133333333333336
0201-OAMXR,Si,Femenino,No,No,No,70,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Anual,No,Tarjeta de crédito (automático),115.55,8127.6,3.8516666666666666
0203-HHYIJ,Si,Masculino,No,No,No,25,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Transferencia bancaria (automática),25.3,676.35,0.8433333333333334
0206-OYVOC,No,Femenino,No,Si,Si,46,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,Si,Cheque enviado por correo,19.25,864.2,0.6416666666666667
0206-TBWLC,No,Femenino,No,Si,No,54,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Anual,Si,Cheque enviado por correo,114.65,6049.5,3.8216666666666668
0207-MDKNV,Si,Femenino,No,No,No,15,Si,No,Fibra óptica,Si,No,Si,Si,Si,Si,Mensual,No,Cheque electrónico,105.1,1582.75,3.503333333333333
0208-BPQEJ,No,Femenino,No,Si,Si,12,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Transferencia bancaria (automática),19.4,198.1,0.6466666666666666
0212-ISBBF,No,Femenino,No,No,No,22,No,Sin servicio de teléfono,DSL,No,Si,No,No,Si,Si,Mensual,Si,Cheque electrónico,50.35,1098.85,1.6783333333333335
0214-JHPFW,No,Femenino,No,Si,No,70,No,Sin servicio de teléfono,DSL,No,Si,Si,Si,Si,Si,Bienal,No,Transferencia bancaria (automática),57.8,4039.3,1.9266666666666665
0215-BQKGS,No,Masculino,No,No,No,30,Si,No,Fibra óptica,Si,Si,Si,No,No,No,Mensual,Si,Tarjeta de crédito (automático),84.3,2438.6,2.81
0218-QNVAS,No,Masculino,No,Si,Si,71,Si,Si,Fibra óptica,No,Si,No,No,Si,Si,Anual,No,Transferencia bancaria (automática),100.55,7113.75,3.3516666666666666
0219-QAERP,No,Masculino,No,Si,No,30,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Tarjeta de crédito (automático),19.8,576.65,0.66
0219-YTZUE,Si,Masculino,No,Si,Si,4,Si,Si,Fibra óptica,No,Si,Si,No,No,No,Mensual,Si,Transferencia bancaria (automática),84.8,371.9,2.8266666666666667
0220-EBGCE,Si,Masculino,No,No,No,2,Si,No,Fibra óptica,No,No,Si,No,No,Si,Mensual,Si,Cheque electrónico,85.85,167.3,2.8616666666666664
0221-NAUXK,No,Masculino,No,No,Si,10,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,Si,Transferencia bancaria (automática),19.95,219.5,0.6649999999999999
0221-WMXNQ,No,Masculino,Si,No,No,4,Si,No,Fibra óptica,Si,No,No,No,No,No,Mensual,No,Cheque electrónico,75.35,273.4,2.5116666666666663
0222-CNVPT,No,Masculino,Si,No,No,52,No,Sin servicio de teléfono,DSL,Si,No,No,No,Si,Si,Mensual,Si,Tarjeta de crédito (automático),48.8,2555.05,1.6266666666666665
0224-HJAPT,Si,Masculino,No,No,No,5,Si,Si,DSL,No,No,No,No,No,No,Mensual,No,Cheque electrónico,47.15,223.15,1.5716666666666665
0224-NIJLP,No,Masculino,No,Si,Si,8,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,No,Cheque enviado por correo,20.15,165.5,0.6716666666666666
0224-RLWWD,No,Femenino,Si,No,No,2,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque electrónico,44.3,89.3,1.4766666666666666
0225-ZORZP,No,Masculino,No,No,No,3,Si,No,Fibra óptica,No,Si,No,No,No,Si,Mensual,No,Cheque electrónico,84.3,235.05,2.81
0228-MAUWC,No,Masculino,No,No,No,19,Si,Si,DSL,No,No,Si,Si,No,No,Mensual,No,Cheque electrónico,59.55,1144.6,1.9849999999999999
0229-LFJAF,No,Masculino,No,No,No,72,Si,Si,DSL,Si,Si,Si,Si,No,No,Bienal,No,Transferencia bancaria (automática),69.65,4908.25,2.3216666666666668
0230-UBYPQ,No,Masculino,Si,Si,No,63,No,Sin servicio de teléfono,DSL,Si,No,No,Si,No,No,Anual,No,Transferencia bancaria (automática),36.1,2298.9,1.2033333333333334
0230-WEQUW,No,Masculino,No,Si,No,66,No,Sin servicio de teléfono,DSL,Si,Si,Si,Si,Si,No,Bienal,Si,Transferencia bancaria (automática),56.6,3789.2,1.8866666666666667
0231-LXVAP,Si,Masculino,No,No,No,1,Si,No,Fibra óptica,No,No,No,Si,No,No,Mensual,Si,Cheque electrónico,75.9,75.9,2.5300000000000002
0233-FTHAV,No,Femenino,No,No,No,60,Si,Si,Fibra óptica,No,No,Si,No,No,No,Anual,Si,Transferencia bancaria (automática),79.2,4765.0,2.64
0234-TEVTT,No,Femenino,No,Si,Si,48,No,Sin servicio de teléfono,DSL,Si,No,Si,No,No,Si,Anual,No,Tarjeta de crédito (automático),45.0,2196.3,1.5
